"","state","county","Biden","Trump","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","retail_recreation","grocery_pharmacy","parks","transit","workplace","residential"
"80","Florida","wakulla",5351,12874,5,5.43,16.09,0,0,0,1,1,1,0,1,2,0,0,0.193548387096774,-7.42307692307692,4.61538461538461,NA,-22.2903225806452,6.5
"81","Florida","walton",10338,32947,33,26.29,35.49,0,0,0,1,1,1,0,1,2,0,0,9.51612903225806,5.61290322580645,46.6129032258064,11.258064516129,-12.0645161290323,0.806451612903226
"82","Florida","washington",2347,9876,4,5,19.63,0,0,0,1,1,1,0,1,2,0,0,-11.2903225806452,8.90909090909091,NA,NA,-14.1935483870968,2.68181818181818
"83","Georgia","appling",1779,6526,0,3.29,17.87,0,0.14,0.78,2,1,2,3,0,2,0,0,-7.625,-1.25,NA,NA,-14.2258064516129,NA
"84","Georgia","atkinson",825,2300,1,1,12.25,0,0.14,1.75,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"85","Georgia","bacon",625,4018,-1,1.5,13.44,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"86","Georgia","baker",652,897,1,0.43,14.11,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"87","Georgia","baldwin",9140,8903,4,5.57,12.41,0,0.14,0.32,2,1,2,3,0,2,0,0,-3.67741935483871,-4.45161290322581,NA,NA,-17.9677419354839,3.96153846153846
"88","Georgia","banks",932,7795,7,5.17,26.86,0,0,0,2,1,2,3,0,2,0,0,0.774193548387097,NA,NA,NA,-7,0.133333333333333
"89","Georgia","barrow",10453,26804,19,17.29,20.77,1,0.14,0.17,2,1,2,3,0,2,0,0,-4.87096774193548,3.25806451612903,NA,NA,-17.7096774193548,4.16129032258065
"90","Georgia","bartow",12092,37674,24,24.29,22.54,0,0.29,0.27,2,1,2,3,0,2,0,0,-7.16129032258065,9.41935483870968,38.4838709677419,-1.25806451612903,-15.0645161290323,3.32258064516129
"91","Georgia","ben hill",2392,4110,1,3.14,18.82,0,0.14,0.86,2,1,2,3,0,2,0,0,-5.625,-0.181818181818182,NA,NA,-14.258064516129,NA
"92","Georgia","berrien",1269,6419,2,2.57,13.26,0,0.14,0.74,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"93","Georgia","bibb",43468,26585,17,21.57,14.08,0,0.57,0.37,2,1,2,3,0,2,0,0,-18.6129032258065,-4.61290322580645,39.6363636363636,9.19354838709677,-20.9032258064516,5.7741935483871
"94","Georgia","bleckley",1311,4328,1,3,23.3,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"95","Georgia","brantley",699,6991,3,4.57,23.92,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"96","Georgia","brooks",2790,4260,0,1.33,8.63,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"97","Georgia","bryan",6739,14244,2,3.25,8.2,0,0.29,0.72,2,1,2,3,0,2,0,0,2.2258064516129,1.96774193548387,-4.5,32.1290322580645,-17.3548387096774,4.15384615384615
"98","Georgia","bulloch",11243,18386,1,8,10.05,0,0,0,2,1,2,3,0,2,0,0,-13.1935483870968,-1.06451612903226,NA,NA,-13.4516129032258,5.29032258064516
"99","Georgia","burke",5209,5400,0,4.67,20.85,0,0,0,2,1,2,3,0,2,0,0,-6.53846153846154,-9.11538461538461,-24.7,NA,-20.1935483870968,3.54545454545455
"100","Georgia","butts",3274,8406,7,5,20.05,0,0,0,2,1,2,3,0,2,0,0,2.15384615384615,-8.03225806451613,NA,-0.290322580645161,-19.4838709677419,3.18181818181818
"101","Georgia","calhoun",1260,923,0,1.29,20.77,0,0.14,2.31,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"102","Georgia","camden",7967,15251,-2,9.33,17.07,0,0,0,2,1,2,3,0,2,0,0,-11.4516129032258,10.1612903225806,6.83870967741935,-2.03225806451613,-16.6774193548387,4.09677419354839
"103","Georgia","candler",1269,3133,3,1.29,11.9,0,0.14,1.32,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"104","Georgia","carroll",16238,37476,16,32.71,27.26,0,0.43,0.36,2,1,2,3,0,2,0,0,-0.870967741935484,7.12903225806452,22.6666666666667,2.48387096774194,-14.741935483871,3.19354838709677
"105","Georgia","catoosa",6932,25167,19,14.14,20.93,0,0.14,0.21,2,1,2,3,0,2,0,0,-5.61290322580645,3.2258064516129,7.73076923076923,1.5,-28.2258064516129,4.7741935483871
"106","Georgia","charlton",1103,3419,1,1.14,8.53,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"107","Georgia","chatham",78254,53237,21,25.29,8.74,1,0.71,0.25,2,1,2,3,0,2,0,0,-12.7741935483871,-7.90322580645161,14.7741935483871,-31.258064516129,-26.5806451612903,6.09677419354839
"108","Georgia","chattahoochee",667,880,9,9.71,89.06,0,0,0,2,1,2,3,0,2,0,0,-43.2,-37.5,NA,NA,-33.2272727272727,NA
"109","Georgia","chattooga",1854,8064,10,8.86,35.73,0,0,0,2,1,2,3,0,2,0,0,-2,7.68181818181818,NA,NA,-17.3548387096774,2.90909090909091
"110","Georgia","cherokee",42794,99587,55,65.14,25.17,0,0,0,2,1,2,3,0,2,0,0,-4.51612903225806,-2.12903225806452,89.8518518518518,NA,-27.0967741935484,6.2258064516129
"111","Georgia","clarke",36048,14446,24,32,24.94,0,0.29,0.22,2,1,2,3,0,2,0,0,-21.741935483871,-10.4193548387097,-0.741935483870968,-59.2903225806452,-21.0967741935484,7.54838709677419
"112","Georgia","clay",790,637,0,0.14,5.04,0,0,0,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"113","Georgia","clayton",95476,15813,47,52.14,17.84,0,0.57,0.2,2,1,2,3,0,2,0,0,-7.74193548387097,-7.06451612903226,46.9032258064516,-50.7741935483871,-27.1290322580645,6.93548387096774
"114","Georgia","clinch",747,2105,0,2.57,38.86,0,0.14,2.16,2,1,2,3,0,2,0,0,NA,NA,NA,NA,NA,NA
"115","Georgia","cobb",221846,165459,157,129.29,17.01,5,1.57,0.21,2,1,2,3,0,2,0,0,-15.6451612903226,-9.80645161290323,50.1935483870968,-29.2903225806452,-33.1935483870968,9.25806451612903
"116","Georgia","coffee",4511,10578,8,10.29,23.77,0,0.57,1.32,2,1,2,3,0,2,0,0,-4.61290322580645,0.838709677419355,NA,NA,-13.3225806451613,2.22727272727273
"117","Georgia","colquitt",4187,11777,4,4,8.77,0,0.14,0.31,2,1,2,3,0,2,0,0,-6.32258064516129,4.45161290322581,NA,NA,-11.4838709677419,2.15384615384615
